Timestamp,mq3,mq2,mq6,mq9,mq8,mq5,mics_Vnox,mics_Vred
2024-04-04 11:50:44,33,197,195,196,195,194,870,123
2024-04-04 11:50:45,33,190,189,189,189,188,870,124
2024-04-04 11:50:46,33,175,175,175,174,174,871,128
2024-04-04 11:50:47,33,180,179,178,178,176,871,129
2024-04-04 11:50:48,33,194,192,191,191,189,871,128
2024-04-04 11:50:49,33,197,196,196,195,195,871,128
2024-04-04 11:50:50,33,191,191,191,191,190,871,127
2024-04-04 11:50:51,32,180,180,180,180,180,871,124
2024-04-04 11:50:52,33,174,173,172,172,171,871,122
2024-04-04 11:50:53,33,176,175,174,173,173,871,121
2024-04-04 11:50:54,33,187,185,184,183,182,871,121
2024-04-04 11:50:55,33,195,194,193,193,191,871,120
2024-04-04 11:50:56,33,197,196,196,195,194,872,120
2024-04-04 11:50:57,33,194,194,193,193,192,871,119
2024-04-04 11:50:58,32,185,185,185,185,184,871,120
2024-04-04 11:50:59,33,173,173,172,173,172,872,121
2024-04-04 11:51:00,33,174,172,172,172,171,872,120
2024-04-04 11:51:01,33,185,185,183,182,182,872,120
2024-04-04 11:51:02,33,193,192,191,190,189,872,120
2024-04-04 11:51:03,33,198,198,197,197,196,872,120
2024-04-04 11:51:04,33,194,193,193,193,192,872,119
2024-04-04 11:51:05,33,181,181,181,180,180,872,120
2024-04-04 11:51:06,33,174,173,173,173,172,872,120
2024-04-04 11:51:07,33,175,174,174,173,172,872,120
2024-04-04 11:51:08,33,184,184,183,182,181,872,118
2024-04-04 11:51:09,33,184,183,183,182,181,872,120
2024-04-04 11:51:10,33,113,113,112,112,112,872,120
2024-04-04 11:51:11,33,218,218,218,218,217,872,118
2024-04-04 11:51:13,33,185,184,184,183,183,872,118
2024-04-04 11:51:14,33,171,170,170,169,169,873,121
2024-04-04 11:51:15,33,225,224,224,223,223,873,122
2024-04-04 11:51:16,32,165,163,164,162,161,872,121
2024-04-04 11:51:17,32,189,188,188,187,187,872,119
2024-04-04 11:51:18,33,197,195,195,195,194,873,120
2024-04-04 11:51:19,33,192,191,191,191,191,873,122
2024-04-04 11:51:20,33,178,177,177,177,177,873,121
2024-04-04 11:51:21,33,172,171,171,170,170,873,120
2024-04-04 11:51:22,33,179,177,176,175,174,873,119
2024-04-04 11:51:23,33,190,189,188,187,187,873,119
2024-04-04 11:51:24,32,198,197,197,196,195,873,121
2024-04-04 11:51:25,32,194,193,194,193,192,873,119
2024-04-04 11:51:26,33,183,182,182,182,181,874,122
2024-04-04 11:51:27,33,174,174,173,173,172,873,123
2024-04-04 11:51:28,33,178,178,176,175,175,873,121
2024-04-04 11:51:29,32,194,192,191,191,189,873,121
2024-04-04 11:51:30,32,198,197,197,197,196,874,122
2024-04-04 11:51:31,33,190,189,189,189,188,873,120
2024-04-04 11:51:32,33,177,176,176,176,175,873,119
2024-04-04 11:51:33,33,175,174,174,173,172,873,121
2024-04-04 11:51:34,32,185,184,183,181,180,874,122
2024-04-04 11:51:35,33,198,196,195,194,194,874,122
2024-04-04 11:51:36,32,194,193,193,192,191,874,119
2024-04-04 11:51:37,32,187,186,186,186,185,874,121
2024-04-04 11:51:38,32,177,176,176,176,175,874,124
2024-04-04 11:51:39,32,174,173,173,172,171,874,125
2024-04-04 11:51:40,33,200,199,199,198,197,874,123
2024-04-04 11:51:41,33,185,183,183,182,181,873,122
2024-04-04 11:51:42,32,171,170,169,169,169,873,120
2024-04-04 11:51:43,33,175,175,174,173,173,872,119
2024-04-04 11:51:44,33,202,201,200,200,199,872,118
2024-04-04 11:51:45,32,194,194,193,193,192,873,119
2024-04-04 11:51:46,32,195,194,193,192,191,873,119
2024-04-04 11:51:47,33,196,195,195,194,193,873,119
2024-04-04 11:51:48,32,197,196,196,196,195,873,118
2024-04-04 11:51:49,32,184,184,184,184,184,873,119
2024-04-04 11:51:50,32,202,201,200,200,199,873,119
2024-04-04 11:51:51,32,181,180,180,179,177,873,119
2024-04-04 11:51:52,32,203,202,202,201,200,873,118
2024-04-04 11:51:53,32,254,252,252,251,250,873,117
2024-04-04 11:51:54,33,205,204,204,203,202,873,119
2024-04-04 11:51:55,33,146,146,145,144,144,873,117
2024-04-04 11:51:56,33,195,195,194,194,194,873,118
2024-04-04 11:51:57,33,179,178,179,178,178,873,118
2024-04-04 11:51:58,32,178,178,177,176,175,873,119
2024-04-04 11:51:59,33,193,193,192,192,191,874,121
2024-04-04 11:52:00,32,184,184,183,183,182,873,120
2024-04-04 11:52:01,32,180,180,178,178,177,873,120
2024-04-04 11:52:02,33,195,194,194,193,193,873,121
2024-04-04 11:52:03,33,183,182,182,181,181,873,119
2024-04-04 11:52:04,32,182,181,180,180,178,873,121
2024-04-04 11:52:05,33,201,200,200,200,199,874,121
2024-04-04 11:52:06,33,177,177,177,177,176,874,121
2024-04-04 11:52:07,32,188,187,187,186,184,874,121
2024-04-04 11:52:08,33,193,192,192,192,192,873,119
2024-04-04 11:52:09,33,176,175,175,174,174,874,120
2024-04-04 11:52:10,33,202,202,202,201,201,874,121
2024-04-04 11:52:11,33,124,123,123,122,121,874,119
2024-04-04 11:52:12,33,183,182,182,181,180,874,118
2024-04-04 11:52:13,33,214,212,212,212,210,874,119
2024-04-04 11:52:14,32,178,178,179,178,178,874,119
2024-04-04 11:52:15,33,180,179,178,177,176,874,118
2024-04-04 11:52:16,32,198,197,197,197,195,874,119
2024-04-04 11:52:17,32,173,172,172,172,170,874,119
2024-04-04 11:52:18,32,189,188,187,186,185,874,119
2024-04-04 11:52:19,33,190,189,190,189,189,875,119
2024-04-04 11:52:20,32,184,183,182,181,180,875,121
2024-04-04 11:52:21,33,197,196,196,195,195,875,122
2024-04-04 11:52:22,32,175,174,174,174,174,875,121
2024-04-04 11:52:23,32,192,191,190,189,188,875,120
2024-04-04 11:52:24,32,186,187,186,186,186,875,120
2024-04-04 11:52:25,32,181,179,179,178,177,875,121
2024-04-04 11:52:26,32,197,196,197,196,196,875,119
2024-04-04 11:52:27,32,175,174,174,173,173,875,119
2024-04-04 11:52:28,32,195,194,193,192,192,875,120
2024-04-04 11:52:29,32,177,177,177,177,176,875,119
2024-04-04 11:52:30,32,191,189,189,188,187,875,119
2024-04-04 11:52:31,32,181,181,180,180,180,875,118
2024-04-04 11:52:32,32,190,189,188,187,185,875,119
2024-04-04 11:52:33,32,188,188,188,188,187,875,119
2024-04-04 11:52:34,32,180,179,179,177,177,875,119
2024-04-04 11:52:35,32,194,193,193,192,193,874,118
2024-04-04 11:52:37,32,178,176,176,174,174,875,120
2024-04-04 11:52:38,32,197,196,197,195,195,875,120
2024-04-04 11:52:39,32,178,177,177,177,177,875,118
2024-04-04 11:52:40,32,190,188,188,187,186,876,119
2024-04-04 11:52:41,32,192,191,191,191,189,876,119
2024-04-04 11:52:42,32,176,175,174,174,172,875,117
2024-04-04 11:52:43,32,200,198,198,197,196,875,118
2024-04-04 11:52:44,32,181,182,181,181,180,876,119
2024-04-04 11:52:45,32,187,185,185,183,183,876,119
2024-04-04 11:52:46,32,196,196,194,195,193,875,119
2024-04-04 11:52:47,32,176,175,175,174,174,876,120
2024-04-04 11:52:48,32,194,192,193,192,191,876,120
2024-04-04 11:52:49,32,191,191,192,191,191,876,120
2024-04-04 11:52:50,32,176,175,175,175,173,876,120
2024-04-04 11:52:51,32,196,195,194,194,192,876,119
2024-04-04 11:52:52,32,190,190,189,190,189,876,119
2024-04-04 11:52:53,32,176,176,175,175,173,876,120
2024-04-04 11:52:54,32,194,193,193,192,191,876,120
2024-04-04 11:52:55,32,190,190,189,190,188,876,118
2024-04-04 11:52:56,32,176,175,174,174,174,876,120
2024-04-04 11:52:57,32,194,194,192,192,191,876,119
2024-04-04 11:52:58,32,189,189,188,189,187,876,120
2024-04-04 11:52:59,32,178,177,177,176,175,876,118
2024-04-04 11:53:00,32,198,197,197,196,195,876,118
2024-04-04 11:53:01,32,185,185,184,184,184,876,119
2024-04-04 11:53:02,32,183,181,180,180,178,876,117
2024-04-04 11:53:03,32,196,195,195,195,194,876,118
2024-04-04 11:53:04,32,176,175,174,175,173,877,120
2024-04-04 11:53:05,32,195,194,194,193,192,877,119
2024-04-04 11:53:06,32,183,183,182,182,182,877,119
2024-04-04 11:53:07,32,183,181,181,180,179,877,118
2024-04-04 11:53:08,32,193,192,193,193,191,877,119
2024-04-04 11:53:09,32,177,177,176,175,175,877,119
2024-04-04 11:53:10,32,222,221,221,220,220,877,118
2024-04-04 11:53:11,32,181,181,180,180,180,878,118
2024-04-04 11:53:12,32,187,185,185,184,183,877,119
2024-04-04 11:53:13,32,175,175,175,175,175,877,121
2024-04-04 11:53:14,32,236,235,235,233,232,877,120
2024-04-04 11:53:15,32,199,199,198,199,197,877,118
2024-04-04 11:53:16,32,177,176,176,175,174,877,119
2024-04-04 11:53:17,32,200,199,199,198,197,877,119
2024-04-04 11:53:18,32,178,178,178,178,177,877,117
2024-04-04 11:53:19,32,190,189,188,187,186,877,118
2024-04-04 11:53:20,32,193,193,193,193,192,877,117
2024-04-04 11:53:21,32,179,178,177,177,176,877,118
2024-04-04 11:53:22,32,192,192,191,191,191,877,118
2024-04-04 11:53:23,32,165,164,164,163,163,878,119
2024-04-04 11:53:24,32,174,173,172,171,170,878,119
2024-04-04 11:53:25,32,198,198,198,197,197,878,119
2024-04-04 11:53:26,32,172,171,171,170,170,878,119
2024-04-04 11:53:27,32,184,184,183,182,180,878,120
2024-04-04 11:53:28,32,193,192,192,192,191,878,119
2024-04-04 11:53:29,32,176,176,176,175,175,878,119
2024-04-04 11:53:30,32,193,192,191,190,189,878,118
2024-04-04 11:53:31,32,192,191,191,191,191,878,119
2024-04-04 11:53:32,32,173,172,172,172,171,878,119
2024-04-04 11:53:33,32,193,192,191,190,189,878,119
2024-04-04 11:53:34,32,197,196,196,196,196,878,118
2024-04-04 11:53:35,32,176,175,175,175,174,878,118
2024-04-04 11:53:36,32,194,192,191,191,189,878,119
2024-04-04 11:53:37,32,193,192,192,192,192,878,118
2024-04-04 11:53:38,32,173,172,171,171,170,878,117
2024-04-04 11:53:39,32,194,193,192,192,190,878,119
2024-04-04 11:53:40,32,178,178,178,178,177,878,118
2024-04-04 11:53:41,32,178,178,176,176,175,876,116
2024-04-04 11:53:42,32,198,197,197,197,195,878,117
2024-04-04 11:53:43,32,177,176,176,176,175,879,119
2024-04-04 11:53:44,32,194,192,192,191,190,879,119
2024-04-04 11:53:45,32,185,185,185,185,184,878,119
2024-04-04 11:53:46,32,184,184,182,181,181,879,120
2024-04-04 11:53:47,32,193,192,192,192,191,879,119
2024-04-04 11:53:48,32,179,178,177,177,175,879,119
2024-04-04 11:53:49,32,196,196,195,196,194,878,118
2024-04-04 11:53:50,32,176,176,175,174,173,879,119
2024-04-04 11:53:51,32,197,197,196,197,195,879,119
2024-04-04 11:53:52,32,176,175,175,174,173,879,120
2024-04-04 11:53:53,32,197,197,196,196,195,879,119
2024-04-04 11:53:54,32,176,176,176,175,174,879,119
2024-04-04 11:53:55,32,198,196,197,196,195,879,119
2024-04-04 11:53:56,32,180,179,179,178,177,879,120
2024-04-04 11:53:57,32,192,190,191,190,190,879,118
2024-04-04 11:53:58,32,188,186,186,183,184,879,118
2024-04-04 11:54:00,32,181,181,181,181,181,879,119
2024-04-04 11:54:01,32,196,195,194,193,192,879,118
2024-04-04 11:54:02,32,175,174,175,173,174,879,118
